LELL  Sabadell 
04X  [H] Doral Ocean Beach Resort 
KEEN  Dillant Hopkins 
SIIA  Fazenda Parana 
N29  Magdalena 
LKKT  Klatovy 
MO96  Ray Johnson Inc 
KNVD  Nevada Muni 
SNOG  Ceara - Mirim 
CA63  [H] John Muir Memorial Hospital 
LIPK  FORLI' 
NZIR  MCMURDO STATION ICE RUNWAY 
CJP2  Kerrobert 
NTGA  Anaa 
0A2  HESTER MEMORIAL 
BIRF  Rif 
4TA1  Warschun Ranch 
LL88  Harry D Fenton 
4MO8  Martens 
UT68  Tangri-La 
Y18  Andvik 
SWBU  Fazenda Fartura Baixao Novo 
YNSH  Noosa 
SP19  [S] Princess Juliana Harbor 
WBGR  Miri 
SWAN  Arenapolis 
OI95  [H] Childrens Hospital 
ND53  James Whitman 
SWCQ  Costa Marques 
SYMB  Mabaruma 
YNRL  NARYILCO 
YLIS  Lismore 
82NJ  [H] Graphic Scanning Corporation 
15IS  Furtney 
SNNC  Rio Capim 
MO82  Howard 
CA77  [H] Ridgecrest Community Hospital 
LB44  BEZMER 
CJQ6  TANQUARY FIORD 
YUDA  Undara 
SNMX  Sao Mateus 
DABT  Batna 
NZKM  Karamea 
SLVG  Vallegrande 
70A  FREDDIE JONES FLD 
7OH3  Obi One 
SKPA  JUAN JOSE RONDON 
KEGQ  Emmetsburg Muni 
KEDJ  Bellefontaine Regl 
9K8  Kingman - Clyde Cessna Fld 
EKKO  Korsoer 
SIHE  [H] Mendes 
5II4  [H] Hopkins 
VA1H  ONDWA 
50IS  [H] Memorial 
34MI  De Witt Property 
NC35  Spencer 
YKLN  KILLARNEY STN 
3MN5  Little Rock Rock Port 
UTAM  Mary 
XYRYL  Rylstone Aerodrome 
KRGK  Red Wing Regl 
EPSI  Sieradz 
NM06  [H] St Vincent Hospital 
3AUS  Mullumbimby Grass Strip 
EPPR  PRUSZCZ GDANSKI 
2NA0  Soderquist 
YPTH  PENRITH (QLD) 
SN69  Emmerson 
EGPH  Edinburgh 
SIFN  Fazenda Planura 
ZLYS  Yushu Batang 
08L  [H] Verdugo Hills Hospital 
EGSS  London Stansted 
SIEU  [H] Diamante 
KGRE  Greenville 
YRLL  Rolleston 
3TN7  [H] Pigeon Forge 
SNCS  Campos Sales 
90Y  Leonard Municipal 
NTKU  Nukutepipi 
FY3G  Otjosondu (Ebenezer) 
CO44  [H] Yankee Port 
TN60  [H] WSMV 
NVSQ  Gaua 
MO69  [H] Baptist Medical Center 
IMA  Iamalele 
KLBT  Lumberton Regional 
93B  Stonington Muni 
YWRN  Warren 
PGUM  Guam Intl 
SWNA  Novo Aripuana 
XLIDO  Corvara in Badia 
YBIK  BILLA KALINA 
NJ60  Cuddihy Landing Strip 
DTTA  Carthage 
SWMZ  Estancia Aeronaldo 
5022  Portbail 
XEG0041  Wiltshire Air Ambulance 
YBJP  BARRARATJPI 
LPPI  PICO 
SWOE  Fazenda Duas Lagoas 
NJ74  [H] Elizabethtown Helistop 
4MA3  [H] Millbury Savings West 
48TX  Tri-County Aerodrome 
LPSR  Santarem 
57CA  [H] Merle Norman Cosmetics Bldg 3 
YBKT  Burketown 
YLEG  Leongatha 
SNBW  Baiao 
0O9  Ward Field 
LL63  YOTVATA 
VTSR  Ranong 
AYGA  Goroka 
FY2C  Lorelei Mine 
EZ3  Edmonton Cooking Lake 
SNAL  Arapiraca 
TN74  Will A Hildreth Farm 
EK21  Frederikssund Syd 
92F  CHATTANOOGA SKY HARBOR 
VTPI  Nakhon Sawan Takhli RTAF 
NZGY  Glenorchy 
KBMC  Brigham City 
CA88  San Ardo Field 
FY1X  Kanono 
7FL2  Wellborn 
IS94  Johnson 
EGQL  RAF Leuchars 
CAM3  Duncan 
SIGJ  [H] Hospital HCA 
KGPZ  Grand Rapids - Itasca Co 
XOI0001  Karaj/Fath 
YRNS  [H] Royal North Shore Hospital 
9D7  Cando Muni 
SIDQ  [H] das Quaresmas 
YRMH  [H] ROYAL MELBOURNE HOSPITAL 
12CA  Faber Vineyards 
HI63  [H] Coral Ocean Point 
YKCA  Kings Canyon 
3CL2  Meadow Airstrip 
NM12  [H] Chowning 
UATT  Aktobe 
5S3  Meyer Riverside Airpark 
TNCM  Princess Juliana Intl 
EGSD  Great Yarmouth 
SN55  R J C Farms Inc 
KGRR  Gerald R Ford Intl 
SIEB  Fazenda Carrapicho 
ZBTL  Tongliao 
7K7  Graham Field 
SIFY  Fazenda Yndiana 
XL014  Zalla Airstrip 
YGTE  Groote Eylandt 
XLO0003  [H] Kaltenbach 
7TS9  Ag Aviation 
YELA  ELLENDALE STN 
YKBR  Kalbarri 
KRIW  RIVERTON RGNL 
59LA  [H] Transco Delcambre 
CSR8  La Sarre 
W03  Wilson Industrial Air Center 
SWMM  Buritizal Agropastoril LTDA 
VAID  DEVI AHILYABAI HOLKAR 
OI42  D. A. Chandler 
ND84  Windingland - Private 
SWNV  Aerodromo Nacional de Aviacao 
0M1  SCOTT FLD 
9FL7  Oasis Ranger Station-U.S. Government 
NVSF  Craig Cove 
DAOS  Sidi Bel Abbes 
ENXJ  [H] Valhall Flank South Platform 
FY0K  Burg Gusinde 
FY31  Omatjete 
CO78  [H] Lincoln Community Hospital 
93U  Owen Bros 
RCLY  Lanyu 
NZFJ  Franz Josef 
SNCD  [H] Catuama 
OYGD  Al Ghaidah Intl 
MO55  [H] St Louis University Hospital 
FY3P  RL Farm 
XRJ000L  Tohma Glider Field 
06FA  William P. Gwinn 
2U5  Shearer USFS 
KBOK  Brookings 
KLAX  Los Angeles Intl 
SBVH  Vilhena Airport 
0L5  Goldfield 
MA99  [H] Princess House 
KNXX  NAS JRB Willow Grove 
FY25  Kunene Lion Camp Two 
FY1O  Homestead 
KBMT  Beaumont Muni 
KLCG  Wayne Muni 
TN48  Turner Field 
2T1  MULESHOE MUNI 
FY2T  Okanduka Ranch 
91J  Camp Kulaqua 
VTSE  Chumphon 
KBNO  Burns Muni 
LPSE  Seia 
4CO7  Ambrosich Field 
KUNU  Dodge Co 
USHS  Sovetskiy 
NJ48  [H] Trumps Castle 
SWLI  Fazenda Liberdade 
5NC1  Tara Airbase 
OI56  Atwood Lodge 
ND90  Dahl - Private 
SWOR  Fazenda Colorado 
GMFK  MOULAY ALI CHERIF 
UTNU  URGENCH 
XK005J  Lone Hickory 
2NC8  Goodnights 
EPRZ  Rzeszow Jasionka 
XEG6ST  Strathaven 
SN41  Ziggy Carline 
5R7  Bayou La Batre Roy E. Ray 
WRLI  Datah Dawai/Tiong Ohong (Local Gov) 
RJFS  Saga 
SIDF  [H] Umicore 
ZBUH  Wuhai 
KGPM  GRAND PRAIRIE MUNI 
OPMN  Miram Shah 
2U7  Stanley 
XRJ000N  Fukushima Iizaka 
FY3R  Rocky Point 
90L  [H] Northrop Palos Verdes 
KBOI  Boise Air Terminal Gowen Field 
82CO  [H] Mountain Bell 
EX9  Brant 
MO57  Henderson Mounds E B G 
SNCF  Continental 
KUP  Kupiano 
FY33  Ombombo 
FY0I  Bocock's Bay 
ENXH  [H] Hod Platform 
NZFH  Fox Glacier 
LL49  George 
93W  Robinson - Private 
0M3  John A Baker Field 
BGPT  Paamiut 
9FL5  Shady Bend 
ND86  Peterson 
X6FE  Fearn Airfield 
SWNT  Fazenda Santo Antonio 
OI40  Hallelujah Field 
XKBW8  Bullwhacker 
W01  Tonasket Muni 
SWMO  Fazenda Maria Jose 
WBKS  Sandakan 
0TS2  Ultralight International 
KUOS  Franklin County 
KRIU  Rancho Murieta 
YELC  Eli Creek 
NM38  Double V Ranch 
XLO0001  Kottingneusiedl 
OIBA  Abu Musa Island 
HI49  Panda 
YROB  Robinhood 
7K5  Kenmare Muni 
OPLH  Walton 
SN57  Witham 
EGSF  Peterborough Conington 
5S1  George Felt 
YPWF  PORT WAKEFIELD 
ORTL  ALI BASE 
7J1  Lexington County 
SIDD  Fazenda Sao Joao do Monte Alto 
UAUR  ARKALYK NORTH 
SN43  Strafuss 
YEMG  Eromanga 
XK0062  Macho Grande 
KPSN  Palestine Municipal 
29MN  Wetenkamp 
GMFI  IFRANE 
ND92  Schroeder 
SWOP  Fazenda Agropecuaria Embu 
OI54  [H] Mercy Hospital Helistop 
YBKA  Banksia 
W15  Scotland Neck 
USHQ  Beloyarsky 
5NC3  [H] Grace Hospital Emergency Medical 
SWLK  Fazenda Conceicao 
VAHB  Hubli 
4CO5  [H] Pioneers 
FY2V  Okatopi 
YWPD  WILPENA POUND 
VTSG  Krabi 
SNBB  Fazenda Agronol 
FY1M  Hohenhorst 
FY27  Kwessiegat 
SBTU  Tucurui 
0L7  Jean 
SNAY  Fazenda Rio Lages 
KWO  Kawito 
SWMX  Morrinhos 
WBKD  Lahad Datu 
VAJJ  Juhu Aerodrome 
SWNC  Fazenda PROCOMP 
NJ62  [H] LZ 1 NLDC 
YBII  BALBIRINI 
EK37  Naestved 
SBUF  Paulo Afonso 
DAOF  Tindouf 
YWRL  Warialda 
NVSS  Santo Pekoa Intl 
TN62  Mc Afee STOL Patch 
KLAM  Los Alamos 
LL75  Chester Wyss 
CO46  [H] Mercy Medical Center 
FY3E  Otjite 
EBNH  [H] NHV Oostende 
SIEW  Areia Branca 
3TN5  [H] Holston Valley Hospital 
7H9  Lambert 
08N  Keller Brothers 
EGSQ  Clacton 
FYEU  Etunda (Rucu) 
CAL5  Almonte General Hospital 
SIFL  [H] Solar dos Viana 
EEKU  Kihnu 
EGPJ  Fife 
7AK2  Snettisham 
YPTJ  PATJARR 
OIBV  Lavan Island 
NM04  Keller Field 
ZUWX  Wanzhou Wuqiao 
EPSK  Krepa k/Slupska 
OIAM  Mahshahr 
UTOD  Khorog UT0D 
YKBG  Koolyanobbing 
XZK02  Hyon Ni 
NM10  [H] Columbus 
38TS  [H] Steeplechase 
3MA8  [H] Sadler Hill 
YEMP  EMU PARK 
SIDS  Fazenda Santa Lucinha 
RJFF  Fukuoka 
09J  Jekyll Island Airport 
SIGH  [H] Adalberto S. Monturil 
9D5  Gwin 
EKDB  [H] Dan B Helideck 
85GA  Aiken Field 
IS96  [H] Carle Hospital 
YPUN  PUNMU 
92D  Harlan Airfield 
SBTB  Trombetas 
EK23  Goerlev 
FY1Z  Kavita Lion Lodge 
TN76  [H] Mobley-Wood 
SNAN  Empresa Agricola Chiapetta 
VTSP  Phuket International 
LL61  Doerings Port 
FY2A  Lekkerwater 
CO52  Marshdale 
SNBU  SOCRATES MARIANI BITTENCOURT 
YLEE  Leeton 
4MA1  [H] Bangs 
OI68  Hilty Field 
SWOG  FAZENDA ITAIPU 
YBHM  Hamilton I. 
W29  Bay Bridge 
NJ76  [H] HQ 78th Division 
KUCP  New Castle Muni 
WBGP  Kapit 
YLKN  Lake Nash 
4AZ6  Parsons Field 
SYLD  LINDEN 
OI83  [H] Meridia Hillcrest Hospital 
4TA3  Costello Island Inc 
MHIC  Islas Del Cisne 
LIPI  RIVOLTO 
2Y4  ROCKWELL CITY MUNI 
CA61  [H] SCE High Desert District 
80TS  M Y Ranch 
NTGC  Tikehau 
LKKV  Karlovy Vary 
SNOE  Oeiras 
MO94  Starr 
SIIC  [H] Caragoata 
9OK8  [H] Central Park Helistop 
SN94  Amy 
UMNB  Bobrujsk 
7G6  Johnson 
FYIA  Intu Afrika Lodge 
78GA  C&R Farm 
SIJX  [H] Internacional Plaza 
7OI5  Bea-D 
WRBW  Tumbang Samba (Local Gov) 
07A  FRANKLIN FLD 
KEFW  JEFFERSON MUNI 
NC23  Cross Roads 
3MO3  [H] Research Medical Center 
VA34  Big Buffalo Airstrip 
ID58  [H] Nampa Valley 
YKLL  KALLALA 
3MN7  Haven 
NC37  Mountain View Aerodrome 
ZWBL  Bole Alashankou 
VA20  [H] Southside Regl Medical 
VA1J  DHANA 
ZUZH  Panzhihua 
KRDR  GRAND FORKS AFB 
25TA  FERRIS 
YKOW  Kowanyama 
5II6  [H] Marble Hill 
LBBG  Burgas 
BS8  Port Alberni 
SIHG  Fazenda Ponderosa 
SN80  [H] Girard District Hospital 
2WA0  [H] PCFD Nr 26 
IS69  Kloker 
YRBE  Robe 
EKHV  Haderslev 
01NY  [H] Vassar Hospital 
SKPC  PUERTO CARRENO 
LIRV  VITERBO 
08FL  J. H. Hendrie Farms 
NZKO  Kaikohe 
0OH8  FRY 
MA58  [H] Natick Army Laboratories 
SNMZ  Porto de Moz 
CA75  Reider Ranch 
NZHT  Haast 
CJQ4  Maple Creek 
73X  Indian River Aerodrome 
LEDA  Lleida Alguaire 
MO80  Johnstons Nest Aerodrome 
5WA9  Brush Prairie Aerodrome 
SNNA  [H] Albras 
60TA  AIR RANCH ESTATES 
TN89  Matthews 
YBGB  Beagle Bay Community 
NJ89  [H] Southern Ocean County Hosp. 
YNRN  NARAYEN 
ND51  Reeder 
44NY  Tomcat 
OI97  [H] St. Anns 
57LL  [H] Wood River Township Hospital 
KUAO  AURORA STATE 
NTGT  Takapoto 
62NM  SEVEN RIVERS 
72K  Westport Auxiliary 
ENWG  [H] Gudrun Platform 
SNOR  [H] Fazenda Sesmaria 
ELLX  Luxembourg 
LKKA  Krizanov 
06IL  Thudwhomp 
SNLI  Abaete 
BIRS  Reykjanes 
15KY  Brennan Farm 
SP27  [S] West End Harbor 
ND79  Backoo 
UT56  Gaurdak 
WBGG  Kuching Intl 
57ND  Odegaard 
ID70  [H] Adams Gulch 
OIMN  Bojnord 
WITM  Malikus Saleh 
GCEJ  Aerodromo de Antigua 
VA08  Longbranch 
50KY  Zanzibar Farm 
YECL  Eucla 
3CA7  Metz 
9OH4  Richards 
SIJO  Pantanal Fazenda Jatobazinho 
9I2  Goode Airpark 
I71  Morgan Co 
IS41  Vogen Rla 
07V  Cuchara Valley At La Veta 
ZBXZ  Xinzhou Wutaishan 
SIIT  Fazenda Cachoeira 
LLMG  Megiddo 
MMTM  General Francisco Javier Mina 
04M  Calhoun County 
RJKA  Amami 
9OI0  Sackett Field 
SIKK  Calciolandia 
MMVR  General Heriberto Jara Intl 
YRBR  Robinson River 
EKHA  [H] Halfdan A Helideck 
9H6  [H] St Johns Hospital 
06R  Grawunder Field 
IS55  Housewright 
SIHP  [H] Canapon 
FYKI  Khumib 
EEEI  Ämari Military Aerodrome 
SKSO  Alberto Lleras Camargo 
ID64  [H] Bannock Regional Medical Center 
27OI  Auburn 
29AZ  PALOMA RANCH 
43KS  Smith 
FLSW  Solwezi 
HLRA  DAHRA 
SWCD  FAZENDA SANTA MONICA 
Y32  Fischer - Private 
UT42  Westwater 
62OI  [H] Parma Community Hospital 
KLLJ  CHALLIS 
CO91  [H] Heli-Support 
DAAZ  Relizane 
06KS  [H] Riverside Hospital Airlift 
0OK4  Rock Creek Farm 
SNNV  Fazenda Estrela do Sul 
MA64  Pheasant Field 
VVDL  Lien Khuong 
0C8  Cushing Field Ltd 
HRYU  Ruhengeri 
0MS0  TOPTON AIR ESTATES 
KBAB  Beale AFB 
SLVR  Viru Viru 
CA49  Jones Farms 
LIRA  Ciampino 
SNMM  Morada Nova De Minas 
N03  CORTLAND CO CHASE FLD 
7S3  Starks Twin Oaks Airpark 
KERR  Errol 
SKEB  EL BAGRE 
5K7  Weber Fld 
WY02  Iberlin Ranch 
E54  Bowie 
EPKZ  ZEGRZE POMORSKIE 
SPSO  Pisco 
AL09  Cloudmont Airpark 
YGLA  Gladstone 
WN33  Columbia Ag 2 
WICD  Cirebon Panggung 
XBG000H  [H] Ittoqqortoormiit 
SWVR  Estancia Rosalia 
U03  Buhl Muni 
WI55  Broken Prop 
SWUI  Pauini 
8PN8  [H] Rorer Group 
CT91  [H] Ussc 
YBRC  BARROW CREEK 
OK42  Siegmanns 
48MO  [H] Lions Emergency Evac 
CJD5  Leader 
2M1  Harry S Truman Regional 
LIDL  Legnago 
KNBC  Beaufort MCAS 
AR86  [H] ANO 
YYDN  YARRADEN 
1ND3  Hamry Field 
0U5  Interstate 
0MD9  [H] Calvert Memorial Hospital 
2PS3  Mathna 
2L5  [H] Yuma Regional Medical Center 
DAUH  Oued Irara 
GQND  Tidjikja 
SNZD  Fazenda Dona Hilda 
SBLS  Lagoa Santa 
MM41  LEON GONZALES PIE DE LA CUESTA 
AR92  [H] Harris Hospital and Clinic 
BIGE  Geysir 
0T1  Diamond H Ranch 
SWWV  Posto de Protecao Ambiental Santa Mari 
XAYGB  Gobe 
FL14  Vosikas 
WI41  [H] Columbus Comm Hospital 
NH48  [H] Springfield Point 
YBSG  Scherger (RAAF) 
CT85  Roberts Farm 
YEUA  Euroa 
KRSL  Russell Muni 
WN27  Redoft 
MZBZ  Philip S W Goldson Intl 
K98  Allison Muni 
KEPM  Eastport Muni 
EIDW  Dublin 
YPND  PENTLAND 
E40  Wilsons 
WY16  Robbins 
38NJ  [H] Wjrz Radio 
YGOM  Goomalling 
EPKM  Katowice Muchowiec 
AL35  Mc Ginnis 
2LA0  Central Industries 
NFNR  Rotuma 
1IA9  Newbrough 
MMCS  Abraham Gonzales Intl 
28L  [H] M H 15 Heaps Peak USFS 
EGHL  Lasham 
E68  Estrella Sailport 
YPLL  [X] PEAK HILL (WA) 
YYDY  [S] YUDUYUDU 
OR97  Burrill 
LERL  Ciudad Real 
SNXL  Primavera 
08PA  [H] Pocono Raceway 
6IA0  [H] Decatur County Hospital 
MM69  TACICURI 
0V9  [H] SMH 
YBRT  BARRATTA HS 
PN06  Carlson 
1WI6  Aero Estates 
NH60  Huff Memorial 
WI69  Air Troy Estates - Restricted 
MT80  Vine 
5LA9  [H] P.H.I. 
WBSB  Brunei 
SWVE  Fazenda Vista Alegre 
59WI  Little Wheel Field 
YBSP  Bond Springs 
PN12  Sweet Valley 
NH74  [H] Crowley 
MT94  Ousel Falls 
YBPK  Bronte (Forestry) 
55CA  [H] Naval Hospital 
SWWA  Porangatu 
CSH4  LEBEL SUR QUEVILLON 
MDJB  La Isabela Intl 
OR83  [H] Oxbow 
SNYH  Itambacuri 
0AR9  [H] Eureka Springs Hospital 
BIGR  Grimsey 
LGKL  Kalamata 
SLAL  Alcantari Intl 
ZGSY  Shaoyang Wugang 
GQNS  SELIBADY 
SNZS  [H] Birmann 31 
MMAL  AGUALEGUAS 
YRUL  RURRANGALA 
L003  [H] Bilbao Port 
YRVW  RAVENSWOOD 
YPMH  Prominent Hill Mine 
10CA  [H] William E Poole 
EPIR  Inowroclaw 
YEVM  EVESHAM 
KPHD  Harry Clever Fld 
YGNI  [S] GREEN ISLAND 
ZUNZ  Linzhi Nyingchi 
AL21  [H] Lakeside 
XRJF1  Makurazaki Heliport 
MS19  [H] Pascagoula Refinery Pad Nr 2 
EPDB  Debrzno 
4FD6  [H] Pine Island Helistop 
WIOG  Nanga Pinoh I 
EPGY  Airfield Grady 
NA21  Thompson - Private 
8NJ4  [H] South Jersey Hospital System 
SIQE  Botelho 
27C  Mecosta Morton 
VT07  [H] Berlin Armory 
7MI7  Walker 
MD28  Ewing 
TE21  Lobo Mountain Ranch 
3VA8  Garner 
YPCC  Cocos Keeling Island 
E97  Ute Dam 
24X  Shady International 
CD05  Jackson Field 
KKPB  [S] Point Baker 
AU23  Wallara Ranch 
NV10  [H] Car Country 
EGDX  St Athan 
WW19  Mudiay (RBMU) 
SBAT  Alta Floresta 
AR45  [H] St Vincent Infirmary 
19FD  [H] Nicholas Island 
SNTX  Litoranea 
0Y6  Lake Mills Municipal 
ENOV  Orsta-Volda Hovden 
YWEE  WOOLEEN HS 
2A2  HOLLEY MOUNTAIN AIRPARK 
SNWC  Camocim 
8IL2  Kirkpatrick 
4VA1  Davis Field 
OR68  [H] Columbia Helicopters 
IA28  Sherman 
SWYJ  Fazenda Agropecuaria FR LTDA 
OK81  Homer Ranch 
YLPS  Lawsons Plains 
CT52  Flying Ridge Airstrip 
SWZQ  Fazenda Jussara 
HECA  Cairo Intl 
GA05  [H] Holiday Inn 
WI96  [H] Holy Family Mem Med Ctr 
LW75  BRAZDA 
CT46  [H] Milford-Alexander 
OK95  Disney 
WI82  [H] Kenosha Hosp and Med Ctr 
GA11  [H] Scottish Rite 
KBYS  BICYCLE LAKE AAF 
AR51  [H] Smith 
XS58  Tri-County Air Service 
MM82  LAGUNA DEL REY 
4TX1  [H] Abilene Rgnl Medical Center 
80NJ  [H] Middletown Township Police 
17IS  Winterton 
BIKF  Keflavík 
0X2  Montgomery Ranch 
YWDA  Windarra 
EG06  Belle Vue 
SNVG  Volta Grande 
KIIB  INDEPENDENCE MUNI 
SIPA  Aeroclube de Sao Jose do Rio Pardo 
VT13  Holloway 
MMMX  Licenciado Benito Juarez Intl 
TE35  [H] Mc Coy Bldg Sup 16 
5F0  Arcadia-Bienville 
KGDJ  GRANBURY MUNI 
SISZ  Santa Felicidade 
3TX8  Drop Field 
CD11  [H] Mountain Bell Durango 
AU37  Argyle 
NV04  Marys River Ranch 
HE44  AL ISMAILIYAH AB 
36MI  TECUMSEH PRODUCTS 
52IS  Etheridge 
KGEY  South Big Horn County 
SIRI  Barra Grande 
EGDO  RNAS Predannack 
MD14  Robinson - Private 
03OH  Gibbs Field 
27T  [H] Medical Center 
SIQR  Fazenda Triangulo 
MS25  Huntley 
9XS3  Macy Ranch 
YKUY  KURRAY HS 
WIOP  Pangsuma 
5IS8  [H] Northern Illinois Medical Cntr 
FB27  Jwala 
IA14  [H] Walters 
SWZF  Fazenda Araguari 
2IS1  [H] Proctor Community Hospital 
GA39  Hodges Airpark 
46OH  Wetzl 
AK90  Shirley Lake 
MT43  Klies Air Strip 
YYKA  Yaraka 
ENOA  [H] Oseberg A Platform 
YWER  WERNADINGA 
AR79  Flying G Ranch 
0OR6  Rome Service 
51R  Madisonville Muni 
SNWT  [H] Kioma 
LGEP  Epitalion 
KLVS  Las Vegas Muni 
OR54  Winn 
SNTO  JUSCELINO KUBITSCHECK 
52I  Gross 
ENNE  [H] Norne A Platform 
YWDV  WANDO VALE 
6IL7  [H] Ameritech Center 
73NE  Bornmann Field 
XS64  Farm Services Inc 
SNVP  Fazenda Aracatuba 
1NJ8  [H] Scardos 
YWGM  White Gum 
OR40  Dietz Airpark 
EN4  High River 
71VA  [H] Sentara Hampton General Hospital 
60OK  Carlin Lawrence 
SNUK  Fazenda Lago Vermelho 
FB33  Kings Pool 
XEG3YF  Abbots Bromley 
SWXY  Fazenda Transoeste 
AK84  [S] Meyers Chuck 
X3MQ  Malvern 
WIMO  Pulau Tello/Lasondre (DGCA) 
36NE  Frevert Airstrip 
FNSU  SUMBE 
OITL  Ardabil 
NA09  Hofstad 
25OK  [H] Fin & Feather Resort 
34VA  [H] Loudoun Hospital Center 
43PN  [H] E L Gruber 
7TE6  Stovall Ranch No. 1 
1GA6  De De 
SISM  [H] Hospital Metropolitano Norte 
HUGU  Gulu 
KGGF  Grant Muni 
SIPV  [H] Aquarius 
FYSO  Solitaire 
WW31  Nenei (TEAM) 
EGFP  Pembrey 
K67  Oswego Muni 
6NJ1  Vliet 
SDON  [H] Onix 
D20  Yale 
WX76  Eipomek (UFM) 
UI50  [H] Zima 
95CA  Bonel 
HTMA  Mafia 
SDLU  FAZENDA SANTA LUIZA 
SJBF  Fazenda J. K. 
EHAL  Ameland 
XLF000S  Les Ailes du Der 
II21  Zollinger Strip 
VGSY  OSMANY INTL 
SSLO  Loanda 
FAWR  Wavecrest 
RPMA  Allah Valley 
XU000B  Afipskiy (Svobodniy) 
24FD  [H] Budd Darling 
SSOT  Fazenda Saco da Tapera 
XLRBIST  BISTRITA AERODROM 
WAON  Warukin 
YAMC  Aramac 
T77  Presidio Lely Intl 
XCYCKGC  [H] Revelstoke/Glacier Helicopters 
ZHXF  Xiangyang Liuji 
1R1  JENA 
61FD  [S] Chalks Key West 
KCPK  Chesapeake Rgnl 
SCIH  Caleta Andrade 
3J5  Eden Field 
KAIK  Aiken Municipal 
YTWB  Toowoomba 
1S5  Sunnyside Muni 
KCRT  ZM Jack Stell Field 
LFOD  Saumur Saint Florent 
CL18  Danby Airstrip 
SCHL  Harrison Lake Logging Camp 
CKB5  [S] Sandy Bay Water Aerodrome 
LHBL  Ballószög 
PA82  Grayce Farms 
1XA2  [X] CHASE FLD INDUSTRIAL 
YCTC  COTTEN CREEK 
5MD5  Flying W 
YALG  Adels Grove 
KVIQ  NEILLSVILLE MUNICIPAL 
WAMQ  Bada (MAF) 
IN53  Miller 
SVPR  General Manuel Carlos Piar 
LSTA  Raron 
II35  Lindley - Private 
0PS6  [H] Herbst 
SSMK  El Dorado 
PAMX  Mc Carthy Nr 2 
S05  Bandon State 
RPLE  Balesin 
FAVV  Vereeniging 
XU001F  Svetliy 
YDRE  DARR RIVER DOWNS 
SSNP  Nova Prata 
FMCZ  Dzaoudzi Pamandzi 
XEDMT  Mellenthin 
YHGI  [H] HOGAN ISLAND 
3NE2  Phillips Private 
PANC  Ted Stevens Anchorage Intl 
SDNJ  Nascimento II 
AZ58  [H] Roosevelt Dam 
XESN4  Hällnäs Vindeln 
4M7  Russellville Logan County 
WX62  Danime/Yugwa (ABMS) 
99WI  Foscoro 
KFLV  Sherman Airm Airfield 
UI44  [H] Erema 
XLF002L  Les Noyers 
XLF0016  Ville sur Illon 
SJCB  [H] Classic 
9LA9  Skyline Airpark 
SDMQ  Fazenda Quebracho Brasil 
TAPA  Antigua - V C Bird Intl 
XLF001W  Batzendorf 
KFOM  Fillmore Muni 
6U3  Hoolie 
XU000U  Oktyabr'skiy 
RPMV  Ipil 
SSOC  Fazenda Sans Souci - Sede 
XKM35  Lindey's Landing West Seaplane Base 
XEG9CT  Catton 
4IA5  [H] Community Memorial Hospital 
39IN  Roberts Field 
SSLX  Fazenda Brasilia do Sul 
KDUA  Eaker Fld 
SJBQ  [H] CBMM 
AZ70  [H] Versatile 
SDLB  [H] Metropolitan Office 
EDTW  Winzeln-Schramberg 
XLF000D  Beauclair 
7NY8  Shaw Field 
SDOY  [H] AMBEV 
KJXI  Fox Stephens Fld Gilmer Muni 
AZ5  Cache Creek 
SJAJ  [H] Estacao Convention Center 
EDWL  Langeoog 
YSSL  [H] SOUTH SOLITARY ISLAND 
KFME  Tipton 
LFML  Marseille Provence 
CL30  [H] Queensway Bay 
KOFK  KARL STEFAN MEM 
3I9  Buckeye Executive 
3JC  Freeman Fld 
LFNW  Puivert 
0LA5  [H] Conoco Inc 
KCSG  Columbus Metro 
YAMT  Amata 
Z93  Copper Center 2 
YOCG  [H] OCEAN GROVE 
YCVK  CRAVENS PEAKS 
YANO  ARNO HS 
KTPF  Peter O Knight 
MROC  San Jose Juan Santamaria Intl 
Z87  [S] Blinn Lake 
YALP  Alpurrurulam 
YCWO  CHATSWORTH (VIC) 
SVPE  Pedernales 
5AR5  [H] Med-Flight 
KAJG  Mt Carmel Muni 
18OK  [H] Comanche County Meml Hospital 
09VA  Alum Ridge 
LFLH  Chalon Champforgueil 
KCQX  Chatham Muni 
1CT3  [H] St Marys 
CL24  Kindsvater Ranch 
1AL7  [H] Business Center of Alabama 
LFOS  Saint Valery Vittefleur 
3PN1  Ashlawn 
CKA9  Southend 
LOGF  Fürstenfeld 
88MO  Howell Valley 
NY57  Remsen City 
SDMF  [H] Maresias 
AZ64  Rio Vista Hills 
XESM8  Kvarnhem 
SJCU  [H] CDA - Uberaba 
EDUS  Finsterwalde - Schacksdorf 
KHAI  THREE RIVERS MUNI DR HAINES 
4PN8  C.J.K. 
UI78  [H] Mostovoy 
KFOZ  Bigfork Muni 
KJYM  HILLSDALE MUNI 
EDVH  Hodenhagen 
KHBR  HOBART MUNI 
MUHA  Havana Jose Marti Intl 
II09  Patrum Field 
RPLR  Rosales 
PANT  Annette Island 
S39  Prineville 
SSNG  Montenegro 
XU0010  [H] House of Music 
ESUI  Mellansel 
VGRJ  SHAH MOKHDUM 
PAMO  Mountain Village 
CYQK  Kenora 
FD09  Rlm Farms 
SSCW  Fazenda Sao Sebastiao 
